Date,GSPC,MSFT,AAPL,V,JNJ,JPM,XOM,WMT,PG,DIS,PFE,UNH,VZ,CSCO,CVX,KO,HD,MRK,INTC,BA,MCD,NKE,IBM,UTX,AXP,MMM,CAT,GS,WBA,TRV
01-Dec-15,-0.017685659,0.027295889,-0.112518952,-0.016855677,0.02185771,-0.009795844,-0.037817044,0.04095778,0.059271651,-0.076816424,-0.007026709,0.042811062,0.016799829,-0.003308344,-0.002865333,0.015585436,-0.012249798,-0.003590769,-0.00222626,0.000233783,0.042079446,-0.056607146,-0.003658265,0.006650575,-0.029607455,-0.032125485,-0.066734204,-0.049477282,0.017767459,-0.015038009
01-Nov-15,0.000504742,0.031968231,-0.010092637,0.01826467,0.00207639,0.044312853,-0.013138659,0.027569092,-0.011421983,-0.002376607,-0.031538735,-0.044000385,-0.018072283,-0.049024209,0.004829791,0.006355268,0.079569849,-0.030651509,0.026520503,-0.017853002,0.016872424,0.009494624,-0.004722673,-0.024273541,-0.018583684,-0.004015403,0.006444882,0.013350603,-0.007705437,0.014772274
01-Oct-15,0.079719379,0.173395137,0.080112514,0.107683544,0.07906173,0.052399743,0.106919419,-0.124669759,0.059888349,0.106983462,0.073925942,0.019458304,0.074600563,0.094444033,0.141612318,0.062719774,0.073269225,0.109956516,0.116381177,0.122869615,0.13036759,0.068557366,-0.034313113,0.100618398,-0.011805354,0.103376674,0.110411755,0.076103804,0.018834538,0.132214325
01-Sep-15,-0.026798731,0.023433338,-0.018959465,-0.021632904,0.000894741,-0.05006232,-0.002586234,0.008502732,0.017811608,0.00313608,-0.049444868,0.002675917,-0.055867934,0.014195523,-0.013876713,0.020141583,-0.008364092,-0.086454351,0.062819555,0.008423979,0.021025174,0.095676121,-0.011675026,-0.022505094,-0.034342197,0.004328644,-0.14633924,-0.081741322,-0.036761086,-0.018614291
01-Aug-15,-0.064624731,-0.07052366,-0.071587095,-0.055115239,-0.064185989,-0.060312616,-0.051419554,-0.106163371,-0.073727043,-0.157897033,-0.08082889,-0.048090223,-0.005102263,-0.085945809,-0.088451068,-0.043788057,-0.004882474,-0.090656929,-0.014263417,-0.098241632,-0.025661923,-0.030579137,-0.091065862,-0.090724906,0.008639799,-0.062716482,-0.029312232,-0.080493936,-0.110166833,-0.045497412
01-Jul-15,0.019549683,0.05615139,-0.033481272,0.115082436,0.027825817,0.011299758,-0.049144761,0.014695052,-0.019879074,0.050065888,0.072743966,-0.000703677,0.003854484,0.034362596,-0.086455364,0.054296021,0.057027027,0.042614623,-0.049530225,0.038535627,0.04915568,0.064526977,-0.004127098,-0.100633952,-0.017855591,-0.019369739,-0.075778057,-0.017977419,0.134847826,0.099532103
01-Jun-15,-0.021235559,-0.053093689,-0.033769418,-0.020780676,-0.019861295,0.029656019,-0.015517252,-0.039722344,-0.001915533,0.033587491,-0.027498899,0.014780836,-0.058944861,-0.065198043,-0.055581634,-0.043154349,-0.002605998,-0.067246533,-0.117493713,-0.00650434,-0.000352297,0.066044479,-0.026861946,-0.049258242,-0.025407834,-0.024204641,-0.005877308,0.015644763,-0.012528311,-0.045107987
01-May-15,0.01043673,-0.037281891,0.040172625,0.039046235,0.009430978,0.045687516,-0.025150534,-0.049642779,-0.006176185,0.015062372,0.023879964,0.076112806,-0.008798775,0.016511969,-0.075341671,0.009813575,0.040664841,0.022084657,0.057021715,-0.019869531,-0.006442161,0.028229906,-0.009620739,0.029622808,0.028887789,0.017054163,-0.009865305,0.048542966,0.034488405,9.86516E-05
01-Apr-15,0.008484722,0.179201534,0.005769852,0.009736786,-0.01401416,0.043288311,0.027500677,-0.046425012,-0.03010457,0.03586373,-0.025030621,-0.056671781,0.036543673,0.053764227,0.0563007,0.008510138,-0.054996995,0.043606699,0.040118205,-0.04594937,-0.009175965,-0.014962556,0.065064154,-0.029878831,-0.005276876,-0.053289339,0.082126363,0.043972767,-0.020882425,-0.062000465
01-Mar-15,-0.017549197,-0.068438611,-0.027935447,-0.029008374,-0.011832647,-0.011488872,-0.033304387,-0.020219907,-0.038192021,0.007752307,0.02238487,0.040191755,-0.016721431,-0.069452835,-0.00628696,-0.065616947,-0.009984447,-0.018273271,-0.054248423,0.001048567,-0.006219699,0.038318135,-0.001941455,-0.034026549,-0.043460275,-0.015982804,-0.035233423,-0.006501334,0.023305174,0.006401629
01-Feb-15,0.053438876,0.081944852,0.092077072,0.062351307,0.023391211,0.125869447,0.012730478,-0.012432768,0.016998862,0.134740149,0.093709051,0.067152654,0.09040596,0.119355356,0.03967801,0.050442981,0.094334703,-0.029290096,0.006335854,0.037003703,0.067549301,0.051445208,0.054763759,0.060265622,0.014029477,0.038379144,0.044149533,0.096042837,0.119123072,0.043952565
01-Jan-15,-0.031532779,-0.139546624,0.059611509,-0.028196964,-0.043287433,-0.140449148,-0.05594374,-0.004963786,-0.07758475,-0.022264537,0.003204989,0.053547096,-0.02313862,-0.053528306,-0.089949177,-0.025184345,-0.000489026,0.067170973,-0.093823325,0.111901746,-0.013538229,-0.035656577,-0.045457929,-0.001914798,-0.142414602,-0.012369433,-0.135015123,-0.117106084,-0.032680747,-0.023801118
01-Dec-14,-0.004197385,-0.022571043,-0.070279344,0.023129804,-0.028094883,0.039437987,0.028069897,-0.019145117,0.00727201,0.017997434,0.008623562,0.024635684,-0.078298022,0.006491242,0.039181263,-0.053095125,0.0545226,-0.061628846,-0.019574181,-0.027324171,-0.023850687,-0.032135294,-0.003904431,0.049189459,0.006686058,0.031432578,-0.094485393,0.031548813,0.109940521,0.013314665
01-Nov-14,0.024237474,0.018151817,0.096404026,0.067116192,0.004351259,0.001409752,-0.065925167,0.137816373,0.043205051,0.012290183,0.039284867,0.037393459,0.017875868,0.121816055,-0.096920505,0.068069186,0.019094585,0.041581063,0.090997126,0.072929325,0.032332147,0.065767825,-0.013657304,0.028378468,0.030063875,0.040278142,-0.000430655,-0.008351074,0.066123446,0.035569871
01-Oct-14,0.022936399,0.012646177,0.069489134,0.123551852,0.011102572,0.003976146,0.02789063,-0.002618749,0.041289688,0.026053386,0.012769102,0.100975604,0.00518766,-0.020612242,0.005265918,-0.01119451,0.066138457,-0.015596045,-0.02353717,-0.019581222,-0.011456611,0.041395977,-0.1438263,0.01317058,0.027158262,0.081887315,0.023749007,0.034375278,0.080211503,0.076337312
01-Sep-14,-0.015635436,0.026490726,-0.012258966,0.011628955,0.033939356,0.013200898,-0.048986978,0.019331983,0.007551822,-0.009502368,0.006105721,-0.004973202,0.003406487,0.007176826,-0.073022077,0.022281166,-0.01900291,-0.013904224,0.003762113,0.010601323,0.028799394,0.139293298,-0.007031065,-0.016647885,-0.022701328,-0.010297393,-0.096567124,0.027692233,-0.015418319,-0.008163256
01-Aug-14,0.036963644,0.051258165,0.069689914,0.007130533,0.035721478,0.037364789,0.005241722,0.025759474,0.080164342,0.045524603,0.032541195,0.067156723,-0.00126095,-0.001953474,0.00162344,0.060010585,0.145365671,0.057696714,0.029939637,0.051127602,-0.008922938,0.01824285,0.003281453,0.026558234,0.020213422,0.021833776,0.085651188,0.03546065,-0.127793548,0.055910646
01-Jul-14,-0.015194687,0.034413427,0.028326211,0.001422639,-0.044265011,0.000867306,-0.017433454,-0.020047907,-0.016291855,0.001631488,-0.033576218,-0.003910936,0.029997232,0.0151758,-0.010085227,-0.067741817,0.004471512,-0.011864014,0.092363933,-0.054512974,-0.063308509,-0.005430492,0.055787379,-0.093449636,-0.07517087,-0.016542138,-0.075673779,0.031914904,-0.075053034,-0.043321978
